PRIORITY,Financial Year,Date,Supplier,Amount,Claimable,Deduction Type,Category,Confidence,Transaction ID,Documentation Required,Notes
238,FY2025-26,2025-09-24,Semrush,548.38,548.38,Section 8-1,Marketing,95,1bdd93e3-e36f-4ab6-abfd-4ec4808dc227,Yes,Retain invoice as evidence of expense.
239,FY2025-26,2025-09-19,Railway,523.24,523.24,Section 8-1,Software,85,8238419d-c8e1-44e8-9d91-5ad2f21b57fd,Yes,Requires receipt for substantiation.; Confirm software is used for business purposes.
240,FY2024-25,2025-06-19,Railway,520.68,520.68,Section 8-1,Software,85,31669eac-d810-481d-bb3c-771b429be56f,Yes,Requires receipt from Railway.; Confirm software is used for income-producing purposes.
241,FY2023-24,2023-12-15,Time Out Computers Australia PTY LTD,520.15,520.15,Section 8-1,Professional Services,80,38207182-e49e-45d0-b20c-6fc76aac9b7b,Yes,Obtain detailed invoice to confirm the nature of 'January Services' and ensure it is wholly for business purposes.
242,FY2024-25,2025-06-12,Blue Elephant Media,520,520,Section 8-1,Marketing,80,2f860b84-ca04-4380-a294-88479dcfd22d,Yes,Obtain invoice from Blue Elephant Media to support the deduction.
243,FY2024-25,2024-07-10,Holiday Inn Express,514.72,514.72,Section 8-1,Travel,85,96f98020-c776-4ab9-a563-3a4a12b57486,Yes,"Ensure travel is genuinely for business purposes.; Maintain adequate documentation (receipts, travel itinerary, purpose of travel)."
244,FY2025-26,2025-07-07,Upwork,512.17,512.17,Section 8-1,Professional Services,80,7ccc2ac2-115f-4337-a416-8f9c447ebef8,Yes,Requires invoice or contract from Upwork detailing the services provided by Phill.; Ensure the expense is genuinely incurred in carrying on a business
245,FY2025-26,2025-07-15,Pinnacle Insurance Services,510,510,Section 8-1 ITAA 1997 - general deduction,Insurance,95,b95f72f9-a58b-43ec-91ab-e6dfd0e497f7,Yes,
246,FY2025-26,2025-07-22,Upwork,504.62,504.62,Section 8-1,Professional Services,80,50d31a85-6991-4d85-bdbb-f4c134ddb8e1,Yes,Requires detailed invoice or description of services provided by Phill via Upwork to confirm deductibility.; Ensure the expense is wholly and exclusiv
247,FY2023-24,2023-10-10,AGL Electricity,503.76,503.76,Section 8-1,Utilities,90,7af368b1-0a66-46b7-83ff-6b6492c90394,Yes,Ensure invoice is retained as evidence of expense.
